no,code,country,gdp,lifespan,literacy,population
125,VCT,Saint Vincent and the Grenadines,742,76,0.96,109000
126,WSM,Samoa,705,74,0.996,187820
127,SMR,San Marino,1866,83.5,0.97,32789
128,SAU,Saudi Arabia,718500,74.3,0.904,31521418
129,SEN,Senegal,15360,64,0.511,13508715
130,SRB,Serbia,43680,74,0.992,7146759
131,SYC,Seychelles,1271,74.7,0.914,89949
132,SGP,Singapore,268700,84,0.98,5469700
133,SVK,Slovakia,96960,76.3,0.997,5421349
134,SVN,Slovenia,46820,80,0.997,2066209
135,SLB,Solomon Islands,1099,73,0.889,581344
136,SOM,Somalia,2372,50,0.378,11123000
137,ZAF,South Africa,353900,61,0.939,54002000
138,ESP,Spain,1356000,82.5,0.985,46464053
139,LKA,Sri Lanka,65120,74.7,0.977,20277597
140,SDN,Sudan,52500,63,0.807,38435252
141,SUR,Suriname,5009,74.5,0.95,534189
142,SWZ,Swaziland,3807,50,0.826,1119375
143,SWE,Sweden,552000,83,0.99,9753627
144,CHE,Switzerland,646200,82.8,0.99,8211700
145,TJK,Tajikistan,8513,68,0.998,8354000
146,THA,Thailand,400900,74.9,0.956,64926000
147,TGO,Togo,4299,57,0.754,7171000
148,TON,Tonga,477,74.5,0.988,103252
149,TTO,Trinidad and Tobago,27130,74.8,0.991,1328019
150,TUN,Tunisia,48380,74.6,0.951,10982754
151,TUR,Turkey,821800,74.4,0.983,77695904
152,TKM,Turkmenistan,40560,66.5,0.993,4751120
153,UGA,Uganda,22600,56,0.768,34856813
154,UKR,Ukraine,175500,68.25,0.998,42910885
155,ARE,United Arab Emirates,390000,79.2,0.761,9577000
156,GBR,United Kingdom,2490000,81,0.99,64800000
157,USA,United States,16720000,79.8,0.99,320646000
158,URY,Uruguay,57110,77.3,0.976,3404189
159,UZB,Uzbekistan,55180,68.5,0.996,30492800
160,VUT,Vanuatu,828,72,0.74,264652
161,YEM,Yemen,43890,64,0.812,25956000
162,ZMB,Zambia,22240,55.5,0.868,15473905
163,ZWE,Zimbabwe,10480,54,0.942,12973808
